State/UT,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Total_Cases
Jammu & Kashmir,11098,11404,11702,12018,12344,12396,12726,13060,13395,13744,123887
Ladakh,0,0,0,0,0,279,286,294,302,309,1470
Himachal Pradesh,7685,7869,8037,8221,8412,8589,8799,8978,9164,9373,85127
Punjab,33606,34425,35247,36037,36888,37744,38636,39521,40435,41337,373876
Chandigarh,857,887,911,939,966,994,1024,1053,1088,1120,9839
Uttarakhand,9895,10144,10409,10664,10932,11216,11482,11779,12065,12348,110934
Haryana,24702,25447,26162,26904,27665,28453,29219,30015,30851,31679,281097
Delhi,20817,21518,22224,22936,23678,24436,25178,25969,26735,27561,241052
Rajasthan,60581,62243,63920,65632,67380,69156,70987,72825,74725,76655,684104
Uttar Pradesh,174451,178717,183066,187536,192019,196652,201319,206088,210958,215931,1946737
Bihar,88415,90814,93283,95801,98383,101014,103711,106435,109274,112180,999310
Sikkim,402,403,410,426,437,443,445,465,496,525,4452
Arunachal Pradesh,905,933,953,968,991,1015,1035,1064,1087,1125,10076
Nagaland,1540,1585,1608,1640,1684,1719,1768,1805,1854,1890,17093
Manipur,1574,1614,1679,1748,1803,1844,1899,2022,2097,2169,18449
Mizoram,1552,1585,1644,1692,1742,1783,1837,1919,1985,2063,17802
Tripura,2244,2285,2345,2405,2454,2507,2574,2623,2715,2790,24942
Meghalaya,2467,2524,2592,2650,2741,2808,2879,2943,3025,3099,27728
Assam,32555,33388,34230,35130,36029,36948,37880,38834,39787,40721,365502
West Bengal,93513,95926,98342,100817,103309,105814,108394,110972,113581,116230,1046898
Jharkhand,28739,29562,30402,31275,32150,33045,33961,34910,35860,36840,326744
Orissa,44233,45277,46336,47401,48491,49604,50692,51829,52960,54136,490959
Chhattisgarh,23809,24440,25094,25768,26443,27113,27828,28529,29253,30014,268291
Madhya Pradesh,66584,68375,70214,72065,73957,75911,77888,79871,81901,84029,750795
Gujarat,59265,60924,62601,64325,66069,67841,69660,71507,73382,75290,670864
Daman & Diu,75,80,89,97,107,118,124,135,150,161,1136
Dadra & Nagar Haveli,129,139,153,164,173,186,206,219,238,252,1859
Maharashtra,100275,102831,105407,108023,110696,113374,116121,118906,121717,124584,1121934
Telangana,40965,42053,43129,44230,45335,46464,47620,48775,49983,51145,459699
Andhra Pradesh,61445,62888,64371,65839,67370,68883,70424,71970,73536,75086,681812
Karnataka,73619,75595,77608,79626,81729,83824,85968,88126,90349,92560,829004
Goa,1404,1437,1472,1510,1543,1591,1618,1652,1700,1735,15662
Lakshadweep,21,24,25,26,27,27,27,28,28,31,264
Kerala,51258,52220,53169,54157,55145,56148,57155,58139,59143,60162,556696
Tamil Nadu,75693,77777,79914,82117,84320,86596,88866,91184,93536,95944,855947
Pondicherry,1239,1287,1348,1407,1469,1523,1577,1623,1679,1753,14905
Andaman & Nicobar Islands,310,319,331,340,351,357,366,380,393,401,3548
0,0,0,0,0,0,0,0,0,0,0,0
TOTAL,1197922,1228939,1260427,1292534,1325232,1358415,1392179,1426447,1461427,1496972,13440494
